iter	Passed	Remaining
0	9	9127
1	16	8013
2	23	7780
3	29	7359
4	35	7090
5	41	6926
6	48	6868
7	53	6671
8	58	6488
9	64	6434
10	67	6067
11	71	5920
12	79	6051
13	84	5924
14	89	5876
15	95	5854
16	101	5897
17	107	5848
18	112	5783
19	117	5765
20	123	5763
21	128	5728
22	134	5712
23	138	5635
24	142	5549
25	146	5491
26	150	5423
27	158	5489
28	163	5462
29	168	5434
30	175	5485
31	180	5461
32	185	5428
33	192	5464
34	200	5517
35	204	5480
36	210	5476
37	217	5509
38	224	5524
39	229	5501
40	234	5474
41	242	5541
42	250	5567
43	254	5524
44	257	5473
45	263	5464
46	273	5538
47	277	5504
48	280	5450
49	285	5423
50	289	5395
51	295	5395
52	303	5425
53	311	5453
54	316	5430
55	321	5421
56	327	5416
57	331	5377
58	338	5395
59	346	5422
60	351	5404
61	357	5401
62	364	5424
63	370	5417
64	376	5417
65	381	5401
66	385	5370
67	391	5366
68	397	5363
69	402	5352
70	408	5345
71	414	5340
72	422	5369
73	427	5351
74	432	5332
75	438	5325
76	443	5313
77	449	5313
78	454	5299
79	460	5291
80	464	5267
81	469	5250
82	474	5243
83	478	5222
84	481	5185
85	487	5185
86	494	5187
87	499	5175
88	504	5165
89	510	5158
90	516	5155
91	521	5148
92	526	5137
93	533	5137
94	538	5127
95	544	5122
96	548	5106
97	555	5108
98	559	5092
99	563	5075
100	569	5072
101	576	5074
102	581	5066
103	586	5052
104	591	5043
105	597	5040
106	602	5030
107	607	5016
108	612	5007
109	618	5000
110	625	5006
111	632	5011
112	638	5011
113	642	4995
114	648	4993
115	654	4984
116	660	4984
117	665	4973
118	670	4962
119	674	4948
120	679	4939
121	685	4933
122	690	4921
123	696	4922
124	702	4917
125	707	4907
126	713	4904
127	719	4900
128	723	4885
129	729	4879
130	734	4874
131	740	4868
132	745	4859
133	750	4847
134	754	4835
135	759	4824
136	765	4820
137	770	4810
138	777	4813
139	782	4807
140	788	4803
141	793	4793
142	800	4796
143	805	4789
144	812	4791
145	817	4782
146	823	4778
147	829	4776
148	834	4767
149	838	4753
150	844	4747
151	850	4745
152	854	4732
153	861	4732
154	866	4722
155	872	4720
156	877	4713
157	883	4707
158	887	4693
159	892	4687
160	897	4674
161	901	4661
162	908	4667
163	913	4654
164	918	4648
165	923	4637
166	928	4630
167	932	4618
168	936	4605
169	941	4598
170	946	4586
171	952	4584
172	957	4577
173	965	4582
174	969	4570
175	976	4571
176	980	4559
177	984	4547
178	991	4549
179	997	4543
180	1003	4542
181	1010	4540
182	1016	4538
183	1023	4541
184	1031	4544
185	1038	4542
186	1045	4545
187	1052	4545
188	1057	4539
189	1065	4543
190	1073	4546
191	1080	4549
192	1086	4544
193	1093	4541
194	1102	4550
195	1108	4548
196	1115	4548
197	1123	4551
198	1130	4552
199	1137	4550
200	1146	4556
201	1153	4555
202	1161	4560
203	1171	4569
204	1177	4565
205	1183	4561
206	1193	4571
207	1204	4587
208	1215	4599
209	1224	4606
210	1233	4612
211	1242	4618
212	1249	4616
213	1257	4618
214	1264	4617
215	1271	4615
216	1279	4617
217	1285	4611
218	1293	4613
219	1301	4612
220	1308	4612
221	1315	4610
222	1322	4608
223	1331	4611
224	1336	4604
225	1342	4596
226	1350	4597
227	1355	4588
228	1360	4581
229	1366	4575
230	1373	4572
231	1381	4573
232	1387	4568
233	1398	4576
234	1407	4581
235	1414	4579
236	1422	4578
237	1427	4571
238	1432	4561
239	1437	4552
240	1444	4550
241	1449	4541
242	1455	4535
243	1463	4533
244	1469	4528
245	1474	4519
246	1479	4510
247	1483	4499
248	1491	4498
249	1497	4491
250	1501	4480
251	1506	4470
252	1512	4466
253	1517	4458
254	1523	4451
255	1528	4441
256	1532	4430
257	1539	4427
258	1548	4429
259	1552	4419
260	1559	4414
261	1564	4407
262	1571	4405
263	1577	4397
264	1583	4391
265	1588	4382
266	1593	4374
267	1598	4365
268	1603	4357
269	1608	4350
270	1613	4339
271	1617	4330
272	1622	4321
273	1628	4314
274	1633	4307
275	1638	4299
276	1643	4289
277	1647	4278
278	1652	4271
279	1658	4263
280	1663	4255
281	1668	4248
282	1674	4242
283	1679	4235
284	1684	4225
285	1690	4219
286	1695	4211
287	1700	4203
288	1705	4195
289	1711	4189
290	1715	4179
291	1720	4171
292	1725	4162
293	1729	4152
294	1735	4146
295	1740	4138
296	1745	4132
297	1750	4124
298	1756	4117
299	1762	4112
300	1767	4103
301	1771	4095
302	1775	4084
303	1781	4078
304	1785	4069
305	1792	4065
306	1796	4055
307	1801	4048
308	1805	4038
309	1809	4028
310	1814	4019
311	1818	4010
312	1822	4000
313	1827	3993
314	1832	3985
315	1838	3980
316	1843	3971
317	1849	3967
318	1854	3958
319	1859	3950
320	1865	3945
321	1869	3935
322	1874	3929
323	1880	3924
324	1887	3919
325	1893	3914
326	1898	3908
327	1902	3898
328	1908	3891
329	1913	3885
330	1917	3876
331	1922	3868
332	1928	3863
333	1933	3856
334	1937	3846
335	1943	3839
336	1947	3831
337	1951	3822
338	1957	3816
339	1963	3811
340	1969	3805
341	1973	3796
342	1978	3790
343	1982	3781
344	1987	3772
345	1993	3767
346	1997	3759
347	2003	3754
348	2007	3744
349	2013	3739
350	2017	3730
351	2022	3723
352	2028	3718
353	2032	3709
354	2038	3703
355	2044	3698
356	2050	3692
357	2054	3685
358	2060	3679
359	2065	3671
360	2069	3662
361	2075	3657
362	2081	3652
363	2085	3643
364	2089	3635
365	2094	3627
366	2099	3620
367	2102	3611
368	2107	3603
369	2111	3595
370	2115	3586
371	2120	3580
372	2125	3572
373	2130	3565
374	2134	3557
375	2138	3548
376	2143	3542
377	2147	3534
378	2152	3527
379	2159	3523
380	2164	3516
381	2169	3510
382	2175	3504
383	2180	3497
384	2185	3490
385	2190	3484
386	2195	3477
387	2199	3469
388	2204	3462
389	2208	3454
390	2215	3450
391	2220	3444
392	2227	3439
393	2231	3431
394	2236	3424
395	2241	3418
396	2245	3410
397	2249	3402
398	2254	3396
399	2261	3391
400	2265	3383
401	2271	3378
402	2275	3371
403	2280	3364
404	2286	3359
405	2291	3352
406	2297	3347
407	2302	3340
408	2307	3334
409	2311	3326
410	2316	3320
411	2322	3315
412	2329	3311
413	2335	3305
414	2340	3298
415	2345	3292
416	2351	3288
417	2356	3281
418	2360	3273
419	2366	3268
420	2371	3261
421	2377	3255
422	2382	3249
423	2388	3244
424	2392	3236
425	2396	3228
426	2402	3223
427	2406	3215
428	2411	3209
429	2417	3204
430	2422	3197
431	2426	3191
432	2431	3183
433	2437	3178
434	2441	3170
435	2447	3165
436	2452	3159
437	2457	3153
438	2462	3147
439	2469	3143
440	2473	3135
441	2478	3129
442	2483	3123
443	2488	3115
444	2492	3108
445	2498	3103
446	2502	3095
447	2508	3091
448	2513	3084
449	2518	3078
450	2522	3071
451	2528	3065
452	2533	3059
453	2537	3052
454	2544	3047
455	2551	3043
456	2556	3038
457	2562	3032
458	2569	3028
459	2575	3023
460	2583	3020
461	2589	3015
462	2597	3012
463	2603	3007
464	2610	3003
465	2616	2998
466	2621	2992
467	2627	2986
468	2635	2983
469	2641	2978
470	2648	2974
471	2653	2968
472	2660	2964
473	2666	2958
474	2675	2956
475	2681	2951
476	2686	2945
477	2692	2940
478	2698	2935
479	2704	2930
480	2711	2925
481	2718	2921
482	2724	2915
483	2730	2911
484	2736	2905
485	2743	2901
486	2748	2895
487	2755	2891
488	2761	2886
489	2767	2879
490	2773	2874
491	2778	2869
492	2784	2863
493	2790	2858
494	2797	2853
495	2803	2849
496	2810	2844
497	2815	2837
498	2819	2831
499	2827	2827
500	2834	2822
501	2842	2820
502	2851	2817
503	2859	2813
504	2863	2807
505	2870	2802
506	2874	2795
507	2881	2790
508	2886	2784
509	2892	2779
510	2897	2772
511	2902	2766
512	2908	2761
513	2914	2755
514	2920	2750
515	2927	2745
516	2932	2739
517	2939	2735
518	2943	2728
519	2948	2721
520	2954	2716
521	2959	2709
522	2965	2704
523	2972	2700
524	2976	2693
525	2980	2686
526	2985	2679
527	2989	2672
528	2994	2665
529	3000	2660
530	3004	2653
531	3010	2648
532	3015	2641
533	3021	2636
534	3027	2630
535	3033	2625
536	3038	2619
537	3044	2614
538	3050	2608
539	3056	2603
540	3060	2596
541	3066	2591
542	3070	2584
543	3074	2577
544	3079	2571
545	3084	2564
546	3088	2557
547	3093	2551
548	3097	2544
549	3103	2539
550	3107	2532
551	3111	2525
552	3117	2520
553	3121	2513
554	3128	2508
555	3134	2502
556	3143	2500
557	3154	2498
558	3158	2492
559	3164	2486
560	3168	2479
561	3174	2474
562	3179	2468
563	3184	2461
564	3189	2455
565	3195	2450
566	3200	2444
567	3204	2437
568	3209	2431
569	3215	2425
570	3221	2420
571	3227	2414
572	3233	2409
573	3237	2403
574	3243	2397
575	3248	2391
576	3253	2384
577	3258	2378
578	3263	2373
579	3268	2366
580	3272	2359
581	3277	2353
582	3281	2347
583	3285	2340
584	3292	2335
585	3297	2329
586	3301	2323
587	3305	2316
588	3310	2310
589	3315	2303
590	3319	2296
591	3322	2290
592	3328	2284
593	3333	2278
594	3338	2272
595	3344	2267
596	3348	2260
597	3352	2254
598	3358	2248
599	3366	2244
600	3372	2239
601	3379	2233
602	3385	2228
603	3391	2223
604	3397	2218
605	3401	2211
606	3407	2206
607	3415	2202
608	3422	2197
609	3428	2191
610	3433	2185
611	3437	2179
612	3443	2173
613	3447	2167
614	3451	2160
615	3457	2155
616	3461	2148
617	3467	2143
618	3472	2137
619	3478	2132
620	3485	2127
621	3492	2122
622	3500	2118
623	3506	2112
624	3512	2107
625	3516	2101
626	3523	2095
627	3528	2090
628	3532	2083
629	3539	2078
630	3545	2073
631	3552	2068
632	3557	2062
633	3562	2056
634	3566	2049
635	3570	2043
636	3574	2037
637	3580	2031
638	3586	2026
639	3591	2019
640	3596	2014
641	3601	2008
642	3607	2002
643	3611	1996
644	3617	1991
645	3623	1985
646	3628	1979
647	3633	1973
648	3639	1968
649	3645	1962
650	3650	1957
651	3655	1951
652	3659	1944
653	3666	1939
654	3671	1933
655	3676	1927
656	3680	1921
657	3686	1916
658	3691	1910
659	3695	1903
660	3701	1898
661	3706	1892
662	3710	1886
663	3715	1880
664	3720	1874
665	3725	1868
666	3729	1862
667	3735	1856
668	3739	1850
669	3744	1844
670	3749	1838
671	3754	1832
672	3760	1827
673	3765	1821
674	3770	1815
675	3775	1809
676	3780	1803
677	3785	1797
678	3789	1791
679	3794	1785
680	3800	1780
681	3804	1774
682	3809	1767
683	3814	1762
684	3820	1756
685	3824	1750
686	3830	1745
